书名,评分
Python编程,9.1,https://book.douban.com/subject/26829016/
编码,9.2,https://book.douban.com/subject/4822685/
代码大全（第2版）,9.3,https://book.douban.com/subject/1477390/
计算机程序的构造和解释(原书第2版),9.5,https://book.douban.com/subject/1148282/
流畅的Python,9.4,https://book.douban.com/subject/27028517/
C程序设计语言,9.4,https://book.douban.com/subject/1139336/
C++ Primer 中文版（第 5 版）,9.4,https://book.douban.com/subject/25708312/
重构,9.0,https://book.douban.com/subject/4262627/
Python编程快速上手,9.0,https://book.douban.com/subject/26836700/
Java编程思想 （第4版）,9.1,https://book.douban.com/subject/2130190/
Python深度学习,9.5,https://book.douban.com/subject/30293801/
设计模式,9.0,https://book.douban.com/subject/1052241/
算法,9.3,https://book.douban.com/subject/10432347/
深入理解计算机系统（原书第2版）,9.7,https://book.douban.com/subject/5333562/
C Primer Plus（第6版）中文版,9.3,https://book.douban.com/subject/26792521/
编程珠玑,9.1,https://book.douban.com/subject/3227098/
算法导论（原书第3版）,9.2,https://book.douban.com/subject/20432061/
挑战程序设计竞赛,9.0,https://book.douban.com/subject/24749842/
算法（第4版）,9.4,https://book.douban.com/subject/19952400/
深入理解计算机系统（原书第3版）,9.8,https://book.douban.com/subject/26912767/
Head First 设计模式（中文版）,9.2,https://book.douban.com/subject/2243615/
深入理解计算机系统,9.5,https://book.douban.com/subject/1230413/
Effective Python,9.0,https://book.douban.com/subject/26709315/
UNIX环境高级编程（第3版）,9.5,https://book.douban.com/subject/25900403/
编译原理,9.1,https://book.douban.com/subject/3296317/
Head First HTML与CSS（第2版）,9.3,https://book.douban.com/subject/25752357/
编码的奥秘,9.3,https://book.douban.com/subject/1024570/
计算机程序设计艺术,9.4,https://book.douban.com/subject/26681685/
数据密集型应用系统设计,9.6,https://book.douban.com/subject/30329536/
JavaScript高级程序设计（第3版）,9.3,https://book.douban.com/subject/10546125/
Python Cookbook 中文版，第 3 版,9.3,https://book.douban.com/subject/26381341/
网络是怎样连接的,9.1,https://book.douban.com/subject/26941639/
Java并发编程实战,9.0,https://book.douban.com/subject/10484692/
具体数学,9.6,https://book.douban.com/subject/21323941/
A Philosophy of Software Design,9.2,https://book.douban.com/subject/30218046/
深度学习入门,9.4,https://book.douban.com/subject/30270959/
集体智慧编程,9.0,https://book.douban.com/subject/3288908/
Fluent Python,9.6,https://book.douban.com/subject/26278021/
The Go Programming Language,9.3,https://book.douban.com/subject/26337545/
高性能MySQL,9.3,https://book.douban.com/subject/23008813/
重构（第2版）全彩精装版,9.4,https://book.douban.com/subject/30468597/
Redis 深度历险：核心原理与应用实践,9.0,https://book.douban.com/subject/30386804/
C语言程序设计,9.3,https://book.douban.com/subject/4279678/
Effective C++,9.6,https://book.douban.com/subject/5387403/
动手学深度学习,9.3,https://book.douban.com/subject/33450010/
UNIX环境高级编程,9.4,https://book.douban.com/subject/1788421/
Effective Java中文版（第3版）,10.0,https://book.douban.com/subject/30412517/
Python 3网络爬虫开发实战,9.0,https://book.douban.com/subject/30175598/
你不知道的JavaScript（上卷）,9.4,https://book.douban.com/subject/26351021/
数据结构,9.4,https://book.douban.com/subject/25859528/
C语言名题精选百则技巧篇,9.0,https://book.douban.com/subject/1400498/
Unix/Linux编程实践教程,9.2,https://book.douban.com/subject/1219329/
Python数据科学手册,9.3,https://book.douban.com/subject/27667378/
领域驱动设计,9.1,https://book.douban.com/subject/5344973/
Linux/UNIX系统编程手册,9.3,https://book.douban.com/subject/25809330/
C和指针,9.0,https://book.douban.com/subject/3012360/
编程精粹,9.1,https://book.douban.com/subject/3406939/
算法导论（原书第2版）,9.3,https://book.douban.com/subject/1885170/
UNIX编程艺术,9.0,https://book.douban.com/subject/1467587/
Effective java 中文版（第2版）,9.1,https://book.douban.com/subject/3360807/
"Is Parallel Programming Hard, And, If So, What Can You Do About It?",9.2,https://book.douban.com/subject/6957175/
计算机网络,9.1,https://book.douban.com/subject/30280001/
The Little Schemer - 4th Edition,9.3,https://book.douban.com/subject/1632977/
算法导论,9.5,https://book.douban.com/subject/1152912/
Python神经网络编程,9.2,https://book.douban.com/subject/30192800/
编程真好玩,9.0,https://book.douban.com/subject/27116976/
计算机程序设计艺术（第1卷）,9.4,https://book.douban.com/subject/1130500/
Linux命令行与shell脚本编程大全 第3版,9.0,https://book.douban.com/subject/26854226/
重构,9.0,https://book.douban.com/subject/1229923/
Structure and Interpretation of Computer Programs - 2nd Edition (MIT),9.6,https://book.douban.com/subject/1451622/
UNIX编程艺术,9.3,https://book.douban.com/subject/11609943/
调试九法,9.0,https://book.douban.com/subject/5376270/
C Primer Plus,9.1,https://book.douban.com/subject/1240002/
汇编语言(第3版),9.2,https://book.douban.com/subject/25726019/
Effective Modern C++,9.4,https://book.douban.com/subject/25923597/
一站式学习C编程,9.3,https://book.douban.com/subject/6025290/
