公司名,工作名,薪资,学历要求,工作经验,是否全职,公司类型,公司规模,任职要求
苏州复鹄电子科技有限公司,Python开发工程师,15K-30K,本科,3-5年,全职,民营,20人以下,职位描述：复鹄电子科技有限公司现正集中开发对标美国DAPAR计划，具有革命颠覆性的模拟电路全流程自动化工具，征集有兴趣参与前沿科技探索与产业结合的有志之士：1. 参与项目需求分析；2. 调研学术前沿进展；3. 参与全流程自动化工具的创新和前期预言和原型化开发；4. 按照工作进度进行项目研发/验证；职位要求：1. 计算机科学，数学等理工科相关专业硕士以上。2. 3-5年工作经验。3．对机器学习（如深度神经网络，Boosting，最优化算法等）有一定了解者优先。4. 熟练使用python编程语言，有过大中型编程经验。5. 良好的沟通能力和学习能力。6. 能熟练使用英语进行书面和口语交流。7. 熟悉Linux操作系统以及shell编程者优先。8. 有半导体背景者优先。
上海心莲信息科技有限公司,python开发工程师,17K-30K,本科,3-5年,全职,民营,不限,"  1、3年以上Python开发经验，有独立设计大规模数据处理和分析系统的经验和能力；  2、精通 Python 语言, 熟悉web开发框架（django/tornado/flask）以及django-restframework, 并有2年以上该框架的开发经验, 熟练使用HTML，CSS，JavaScript等基本前端技术；  3、熟练 使用 MySQL、Redis、MongoDB、RabbitMQ 等；  4、熟悉 大规模高并发访问的Web应用开发经验者优先, 了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术；  5、熟悉 Linux系统，具备编写shell脚本能力；  6、熟悉 Git 开发流程；  7、具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力, 有全栈开发经验或大型在线服务开发经验优先。  8、要有Github、Gitee或者Coding等账户可以展示代码编写情况的，或者其他个人项目可以看到代码编写情况的。  9、要求一本及以上"
中软国际科技服务有限公司,python后端开发,薪资面议,本科,1-3年,全职,上市公司,10000人以上,"熟练使用python，至少两至三年以上开发经验；熟悉常见python web框架，像django,flask等至少其中一种使用经验；熟悉基于restful Framework 开发api；"
三门峡崤云安全服务有限公司,python开发工程师,6K-12K,大专,3-5年,全职,国企,20-99人, 岗位职责： 1.项目的架构设计，核心模块的开发工作；  2. 系统需求分析与设计，并负责完成核心代码，接口规范制定;  3. 后台系统新需求的开发；  4. 产品运营系统设计与核心模块开发；  5. 负责公司WEB后台管理系统的开发、优化、维护  6. 善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识  7. 持续关注新技术，引入并优化前端的质量、性能、用户体验  8. 遵循公司安全标准，并确保按时按质按量完成代码实现和单元测试岗位要求： 1.精通python开发，3年以上开发经验;  2. 精通linux系统高并发开发  4. 熟悉python扩展模块优先  5. 熟悉HTML5/CSS3/JavaScript等前端技术优先  6. 熟练vue/iview等前端技术优先  8. 任心强，良好的沟通能力以及团队协作能力。
上海日同网络科技有限公司,Python开发工程师,6K-8K,大专,1年以下,全职,民营,100-499人,  1、负责服务端研发； 2、深入发掘和分析业务需求，撰写技术方案和系统设计； 3、根据产品需求，进行系统设计和编码； 4、持续对系统架构进行改造和优化； 任职要求: 1、具备良好的基本功，熟练使用基本的数据结构和算法，； 2、具备良好的编码习惯，结构清晰，命名规范，逻辑性强；
中公教育上海分公司,IT培训讲师（Python）,10K-12K,本科,不限,全职,民营,100-499人,"我们需要你：1、完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作；2、按照教学规范和教学大纲高质量完成Python课程的授课任务；3、带领学员参加实训并指导学员完成实操项目；4、根据学生及市场需要，高质量完成公开课、讲座、网络直播课等授课任务；5、结合搜索引擎的发展变化，实时改进教学方法，完善教学体系；6、完成课程辅导工作，解答学员课程疑问，保证学员的学习质量；7、配合其它部门和集团完成相关工作。 我们只希望你：1、 热爱教育行业，计算机相关专业，大学本科及以上学历，两年或以上工作经验；2、 较好的心理素质，能够承受压力，具有较强的事业心与团队协作精神；3、 表达能力强，声音清晰自然，个性开朗，乐于与人交流；4、 熟练掌握大数据相关算法与数据结构；5、 精通Java语言开发经验，特别是数据库和多线程开发，熟悉常见的Java开发框架及开发能力；6、 熟练掌握Python编程语言与机器学习框架；7、 理解框架的设计思想及实现，具有良好的代码风格、接口设计与程序架构；8、 2年（含）以上对于Hadoop、Hive、Impala, Hbase、Spark、Sqoop有实际的编码能力和海量数据的自动化分析处理项目经验；9、 熟悉主流分布式处理框架，基于Hadoop的数据挖掘、大数据组件开发和封装；10、有一年以上教学经验者优先考虑。当然，我们将给予你丰厚的福利，广阔的发展~ 来中公，你将拥有： 1、薪资标准：根据实际授课能力、面试表现以及学历背景等确定具体薪酬，年薪12万起，上不封顶； 2、基本福利：五险一金+带薪假期(年假、婚假、产检假、产假、每天1小时哺乳假)+年终奖+带薪培训+阳光互助基金等； 3、文娱福利：年度体检+年度旅游+员工健身房+员工餐厅等； 4、特殊福利：工作地点双向选择，31家省级研究院遍布全国范围内，公司会充分尊重员工对工作地点选择的意愿； 5、长期激励计划：股权激励； And more......更多精彩等你来~ 招聘城市：全国省会城市及直辖市 "
上海诺亚金融服务股份有限公司,Python安全产品研发工程师G00815,10K-20K,本科,1-3年,全职,上市公司,1000-9999人," 岗位职责： 1）负责诺亚安全团队自建平台及产品的研发及维护工作； 2）按照项目计划, 按时并高质量的完成研发任务； 3）遵守团队的代码格式、代码安全、代码结构的规定，编写易读、易维护、高效率的代码。  岗位要求： 1）一年及以上 Python 语言为主的互联网开发经验，熟悉 Python 主流框架（Django 优先），优秀的大四实习生优先考虑； 2）对 Mysql\Maria DB\Mongo 有比较深入的认识，熟悉数据库设计规范，熟悉海量数据下数据库的优化； 3）能熟练使用 React， Vue， jQuery 等框架及类库； 4）熟悉 HTTP 原理，能够熟练运用 HTML、CSS、JavaScript 构建高性能的 Web 交互应用,具备一定的架构设计能力； 5）熟悉 代码安全审计，对渗透测试有一定的了解； 6）热爱研究技术，积极主动，具有极客精神，有良好的团队精神； 7）本科及以上学历。  加分项： 1）有 Github、个人技术博客、发布或参与过开源项目； 2）对网络安全、黑客领域有强烈兴趣； 3）企业级应用平台开发经验。"
博彦科技股份有限公司,Python后端开发工程师-上海闵行,13K-18K,本科,3-5年,全职,上市公司,10000人以上,岗位职责1. 分析项目需求，能够给出良好解决方案，协助其他同事完成开发调试工作；2. 负责后端架构设计、模块设计、代码实现、文档编写，开发高性能、高可靠性的服务；3. 代码优化、性能优化，持续提升服务性能并改进业务架构4. 完成领导安排的其他事项；任职要求1. 2年以上Python开发经验；2. 熟练掌握Python，熟练使用Python常见框架;3. 熟悉前端流行框架，如VueJS、React等;4. 具有良好的数据结构和算法基础，熟练使用Linux/Unix，熟悉Openshift优先；5. 具有数据库相关基础，熟悉SQL/MySQL编程；6. 踏实肯干，仔细认真，有责任心;7. 具备良好的独立工作能力，有良好的沟通和学习能力，有较强的团队协作能力以及高度的责任感，对工作积极严谨，勇于承担压力；
上海怡胜信息科技有限公司,Python工程师,6K-8K,大专,不限,全职,民营,100-499人,岗位职责: ? ? ? ? ?1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求: ? ? ? ?1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利；
大袖投资(上海)有限公司,Python,12K-16K,本科,3-5年,全职,民营,100-499人,岗位职责1.日常的数据抓取工作，参与爬虫框架的设计和改进2.清洗和挖掘抓取的数据3.为数据使用者提供Restful风格的API4.Git+DevOps开发，在公司的自动化运维系统部署任职要求1.熟练使用PythonShell，对算法和数据结构有一定理解2.具备Linux下的开发经验，对于定时、程序计划、并发、异步有一定了解和经验3.有良好的编程习惯，注意编程规范，单元测试等细节4.了解并掌握MySQL和NoSQL的使用5.熟悉Git，DevOps，微服务开发6.能够独立阅读英文的API文档具有以下经验者优先考虑1.参与过爬虫项目的，对页面解析，绕过IP封锁，对抗反爬虫有一定经验者2.熟悉AWS或其他云计算平台者3.对Apple生态了解，使用iOS设备和Mac设备，了解前端技术4.有架构设计，带团队经验
